LCLid,stdorToU,Acorn_grouped,cluster,avg_daily_mean,avg_daily_max,avg_daily_std,avg_daily_sum,avg_cv,avg_peak_ratio,avg_load_factor,variability
MAC003605,ToU,Adversity,0,0.1976924672758909,0.8810019688362918,0.18828325681105396,9.298220903944774,0.9470262898931269,4.42468617209166,0.25835110519496496,0.07926230375960938
MAC004553,Std,Affluent,1,0.2897712051785301,1.314393751625,0.25370749802341874,13.760397499875003,0.8492418597148322,4.528322663549508,0.2889971681125382,0.1514499348664367
MAC001226,Std,Adversity,0,0.1740507478998454,0.7435768651445968,0.16108505938909334,8.284059359665145,0.8090731651527553,4.064600662033738,0.29166983459739226,0.09645863400887866
MAC003924,Std,Adversity,0,0.14948043550531914,0.4045875000000001,0.07085226506047816,7.132893750000002,0.476026069432255,2.715060177005303,0.38941946785609605,0.022416033144059103
MAC004680,Std,Adversity,0,0.23522978260841834,1.3155175850921277,0.30058367874700676,11.282991622110554,1.3578085188105364,6.315717662510829,0.19165199059910532,0.18346825276385412
MAC002900,Std,Adversity,0,0.2811500927657414,1.1216447348684209,0.20653190577688588,13.454671050164475,0.6889503814979975,3.8003716420412297,0.30651726106741156,0.08370423231129992
MAC004242,Std,Affluent,0,0.23535519611717243,0.5761617647058825,0.11687407067513862,11.138874998161768,0.4107978949458525,2.237202023227059,0.5569217705154706,0.1339922267697886
MAC004648,Std,Affluent,0,0.1048629303136893,0.4745919732441474,0.08864759742965445,5.027622073578596,0.8113384201960236,4.388197592429857,0.2614783980305008,0.02560468655773933
MAC000101,Std,Adversity,0,0.234482917269056,1.1120110844827586,0.2369835991983958,11.23557758682266,0.9530121892294318,4.540750472106119,0.25173057885026207,0.074726805360207
MAC000846,Std,Comfortable,0,0.10598942224691132,0.6214548143703705,0.13319593575695574,5.072602962666666,1.125541659594505,5.419049020637006,0.22260717902590962,0.053987654596894696
MAC002997,ToU,Adversity,0,0.09719240183312128,0.39867986815181505,0.08079297640384343,4.650554455610562,0.818597085907165,4.044299797072351,0.2783535636470798,0.021017222617892104
MAC003719,Std,Affluent,0,0.28455118728242607,1.047622754491018,0.23593565194886587,13.631818364071856,0.8157270828007025,3.688834423410056,0.29001315994037685,0.09447665773789257
MAC005300,Std,Affluent,0,0.09041708737921005,0.2946751336898396,0.06121215875847627,4.33167780748663,0.6740669024008669,3.2176852108481686,0.34222201555454046,0.026398864847114876
MAC003111,ToU,Affluent,0,0.146466319142532,0.6961679396946565,0.1347593311784714,7.01631297816794,0.8657062068611956,4.511001648506915,0.2608756396457723,0.04384227887617217
MAC003251,Std,Adversity,0,0.04487542659370836,0.1673132075471698,0.03762824968533038,2.1490811320754717,0.8292781163850449,3.6894068557773294,0.2911465722452528,0.008199213727684954
MAC003586,Std,Adversity,0,0.12408187657576297,0.5519488183070864,0.10683762740732232,5.947631889173226,0.8419135205685981,4.406592897534598,0.2525907409242877,0.03624572472601851
MAC005514,ToU,Comfortable,0,0.08576953709126396,0.4094736837719298,0.07130639730050088,4.103355262719299,0.7568319688002529,4.364404125430658,0.3012138858103833,0.026962956971425412
MAC001548,Std,Comfortable,1,0.3940946169963384,1.313950690138675,0.24181928303439265,18.89274113559322,0.5971868862649256,3.292283009324166,0.3422200227355025,0.10619672987992974
MAC001979,Std,Affluent,0,0.1921835390832363,0.6457914009554141,0.1618989092943626,9.213358279777072,0.7779807380667758,3.410130250626848,0.3645250769524485,0.15119892238130345
MAC000571,Std,Adversity,0,0.07235100850240354,0.23545863570391876,0.04768684607698087,3.4610653120464443,0.6542475236613177,3.288011715160049,0.32236714520339066,0.013827687859543645
